query_entity	gold_entity	gold_in_topk_raw	gold_present_in_feature_table	gold_ontology_keep_flag	gold_candidate_in_aligned_evidence	gold_evidence_edge_touch_count	gold_candidate_query_edge_count	num_candidates	num_ontology_keep	num_contra	num_evidence_touch_positive	num_candidate_query_link_positive
Mycoplasma pneumoniae pneumonia	Lefamulin	False	0					20	2	0	13	2
acute myeloblastic leukemia without maturation	Quizartinib	False	0					20	1	0	17	1
hypertensive disorder	Bendroflumethiazide	False	0					20	1	0	14	0
peritoneum cancer	Bevacizumab	False	0					20	20	0	16	0
premature ejaculation (disease)	Sildenafil	False	0					20	20	0	17	0
diabetes mellitus (disease)	Chlorpropamide	False	0					20	1	0	18	0
monogenic obesity	Dexfenfluramine	False	0					20	2	0	17	0
chronic hepatitis C virus infection	Ledipasvir	False	0					20	20	0	14	0
primary cutaneous T-cell lymphoma	Fluticasone propionate	False	0					20	9	0	18	9
latent syphilis	Benzylpenicillin	True	1	1	1	1	0	20	20	0	15	0
neoplasm of mature B-cells	Copanlisib	False	0					20	11	0	18	10
localized scleroderma	Aminobenzoic acid	False	0					20	20	0	18	0
pharyngitis	Pseudoephedrine	False	0					20	4	0	12	4
central nervous system disease	Methylphenidate	False	0					20	20	0	15	0
prostate carcinoma	Flutamide	False	0					20	6	0	17	0
gastric carcinoma	Capecitabine	False	0					20	1	0	17	0
iris disease	Medrysone	False	0					20	4	0	14	4
inflammatory bowel disease	Methylprednisolone	True	1	0	1	1	0	20	7	0	19	7
papillary conjunctivitis	Chlorcyclizine	False	0					20	6	0	13	6
osteoporosis	Ethinylestradiol	False	0					20	2	0	18	0
cerebral infarction	Rosuvastatin	False	0					20	20	0	18	0
occupational dermatitis	Benzoyl peroxide	False	0					20	10	0	18	9
sarcoidosis	Cortisone acetate	True	1	0	1	1	0	20	8	0	16	8
familial hyperlipidemia	Clofibrate	False	0					20	3	0	16	0
chronic cutaneous lupus erythematosus	Amcinonide	False	0					20	6	0	15	6
arthropathy	Proglumetacin	False	0					20	1	0	18	1
osteoarthritis susceptibility	Fenoprofen	False	0					20	20	0	18	0
occupational dermatitis	Halcinonide	False	0					20	10	0	18	9
postencephalitic Parkinson disease	Carbidopa	False	0					20	20	0	15	0
ocular hypertension	Omidenepag isopropyl	False	0					20	20	1	15	0
familial glucocorticoid deficiency	Betamethasone	True	1	0	1	1	0	20	7	0	13	7
obsolete Hodgkin's granuloma	Prednisolone	True	1	0	1	1	0	20	13	0	18	13
premature menopause	Testosterone cypionate	False	0					20	2	0	17	0
acromegaly	Pegvisomant	False	0					20	1	0	14	0
yolk sac tumor	Doxorubicin	True	1	0	1	1	0	20	2	0	18	1
hypertension	Furosemide	False	0					20	1	0	14	0
asthma	Betamethasone	True	1	0	1	1	0	20	8	0	19	7
cutaneous candidiasis	Ciclopirox	False	0					20	1	0	12	1
urinary bladder neoplasm	Thiotepa	True	1	0	1	1	0	20	1	0	17	0
obsolete familial combined hyperlipidemia	Fenofibrate	False	0					20	20	0	15	0
tinea corporis	Tolnaftate	False	0					20	2	0	12	2
urinary tract infection (disease)	Clavulanic acid	False	0					20	3	0	12	3
allergic rhinitis	Cromoglicic acid	False	0					20	6	0	14	6
gout	Topiroxostat	False	0					20	8	0	15	8
amebiasis	Diloxanide furoate	False	0					20	20	0	17	0
Klinefelter syndrome	Testosterone propionate	False	0					20	20	0	14	0
contact dermatitis	Clobetasol propionate	False	0					20	9	0	18	8
Cushing syndrome	Ketoconazole	False	0					20	20	0	18	0
allergic rhinitis	Tranilast	False	0					20	6	0	14	6
Plasmodium vivax malaria	Pyronaridine	False	0					20	20	0	13	0
yolk sac tumor	Etoposide	False	0					20	2	0	18	1
rheumatic heart disease	Triamcinolone	True	1	0	1	1	0	20	8	0	16	8
peptic ulcer disease	Silicon dioxide	False	0					20	20	0	13	0
acute contagious conjunctivitis	Prednisolone	True	1	0	1	1	0	20	4	0	13	4
acute myeloid leukemia with CEBPA somatic mutations	Gemtuzumab ozogamicin	False	0					20	1	0	17	1
familial prostate carcinoma	Apalutamide	False	0					20	6	0	17	0
acute gonococcal cervicitis	Demeclocycline	True	1	0	1	1	0	20	4	0	14	4
infectious otitis media	Ampicillin	False	0					20	20	0	13	0
nephrotic syndrome	Triamcinolone	True	1	0	1	1	0	20	7	0	16	7
hypophosphatemia (disease)	Calcifediol	False	0					20	2	0	17	0
malignant Sertoli-Leydig cell tumor of ovary	Rucaparib	False	0					20	2	0	17	2
superior limbic keratoconjunctivitis	Tobramycin	False	0					20	1	0	15	1
malignant germ cell tumor of ovary	Trabectedin	False	0					20	2	0	17	2
narcolepsy	Modafinil	False	0					20	20	0	16	0
constipation disorder	Dehydrocholic acid	False	0					20	20	0	15	0
allergic rhinitis	Cortisone acetate	True	1	0	1	1	0	20	6	0	14	6
acute lymphoblastic/lymphocytic leukemia	Ibrutinib	False	0					20	12	0	18	12
staphylococcus aureus infection	Erythromycin	False	0					20	5	0	15	5
osteomalacia (disease)	Dihydrotachysterol	False	0					20	20	0	18	0
urinary tract infection (disease)	Cefmetazole	False	0					20	3	0	12	3
osteoarthritis	Meloxicam	False	0					20	20	0	18	0
beriberi	Inositol	False	0					20	20	0	15	0
vasomotor rhinitis	Desloratadine	False	0					20	8	0	14	8
Hodgkin's paragranuloma	Prednisolone	True	1	0	1	1	0	20	13	0	17	13
AIDS	Efavirenz	False	0					20	20	0	14	0
motion sickness	Cyclizine	False	0					20	20	0	10	0
intracranial embolism	Clopidogrel	False	0					20	20	0	15	0
renal cell carcinoma (disease)	Sirolimus	False	0					20	20	0	17	0
allergic rhinitis	Dexchlorpheniramine	False	0					20	6	0	14	6
hereditary late onset Parkinson disease	Levodopa	False	0					20	20	0	17	0
primary cutaneous T-cell lymphoma	Mechlorethamine	True	1	0	1	1	0	20	9	0	18	9
acute myeloid leukemia with t(6;9)(p23;q34)	Doxorubicin	True	1	1	1	1	0	20	20	0	17	0
malignant germ cell tumor of ovary	Topotecan	False	0					20	2	0	17	2
pulmonary tuberculosis	Serine	False	0					20	20	0	12	0
primary cutaneous T-cell lymphoma	Flurandrenolide	False	0					20	9	0	18	9
deficiency anemia	Hematin	False	0					20	1	0	18	0
ovarian clear cell adenocarcinoma	Hydroxyurea	True	1	0	1	1	0	20	2	0	18	2
obsolete familial combined hyperlipidemia	Fluvastatin	False	0					20	20	0	15	0
candidemia	Caspofungin	False	0					20	20	0	12	0
hyperlipidemia, familial combined, LPL related	Ciprofibrate	False	0					20	20	0	15	0
diabetes mellitus (disease)	Nateglinide	False	0					20	1	0	18	0
non-Hodgkin lymphoma	Hydrocortisone	True	1	0	1	1	0	20	16	0	18	16
acute myeloid leukemia and myelodysplastic syndromes related to topoisomerase type 2 inhibitor	Azacitidine	False	0					20	1	0	17	1
anxiety	Alprazolam	False	0					20	20	0	14	0
acute promyelocytic leukemia	Daunorubicin	False	0					20	20	0	18	0
endogenous depression	Isocarboxazid	False	0					20	1	0	17	0
diabetes mellitus (disease)	Ertugliflozin	False	0					20	1	0	18	0
bacterial meningitis	Ceftazidime	False	0					20	1	0	14	1
folliculotropic mycosis fungoides	Betamethasone	True	1	0	1	1	0	20	7	0	16	7
vasomotor rhinitis	Epoprostenol	False	0					20	8	0	14	8
dermatophytosis of groin and perianal area	Tolnaftate	False	0					20	1	0	12	1
allergic rhinitis	Betamethasone	True	1	0	1	1	0	20	6	0	14	6
ciliary body disease	Rimexolone	False	0					20	6	0	14	6
